,lt 10,10 to 20,20 to 30,30 to 40,40 to 50,50 to 60,60 to 70,70 to 80,80 to 90,90 to 100,gt 100
False,361307,379673,380472,380695,380792,380663,380736,380776,380810,380843,380479
True,19594,1228,429,206,109,238,165,125,91,58,422
